split,regime,model,mae,rmse,r2,n_test
14,SynthOnly,SVR,1.1945330112837818,1.9966995497617148,0.2509256209095423,11
14,SynthOnly,GradientBoosting,1.2195444770078583,2.029238761972075,0.22631210508713495,11
14,SynthOnly,HistGradientBoosting,1.1740560480610658,1.9396051665378167,0.29315178191105096,11
15,RealOnly,RandomForest,3.207954485634088,3.7018695646184048,-0.4563488644845166,12
15,RealOnly,Ridge,3.1904775882944807,3.4436820824562786,-0.2602865424681766,12
15,RealOnly,SVR,3.3796434389370145,3.963654907084921,-0.6696093520546167,12
15,RealOnly,GradientBoosting,3.1046898959844618,3.559945183319275,-0.346820810321983,12
15,RealOnly,HistGradientBoosting,2.904573090238957,3.6125399817737573,-0.3869107728912231,12
15,RealPlusSynth,RandomForest,2.9765996440710243,3.358961226428982,-0.19903863835725,12
15,RealPlusSynth,Ridge,3.2364073516082095,3.7399869120961142,-0.486494688399729,12
15,RealPlusSynth,SVR,3.102194270156607,3.547191242584501,-0.33718779516709785,12
15,RealPlusSynth,GradientBoosting,2.656278919875362,3.0605194722858635,0.004563660963324279,12
15,RealPlusSynth,HistGradientBoosting,2.740414433595802,3.281374976495724,-0.14428688563661463,12
15,SynthOnly,RandomForest,3.1277444453553405,3.541744884600815,-0.3330847108293944,12
15,SynthOnly,Ridge,3.180557375454736,3.6442373768080025,-0.41135580252953785,12
15,SynthOnly,SVR,3.173677542121851,3.605756211091072,-0.38170687155007044,12
15,SynthOnly,GradientBoosting,2.8590182176881505,3.2536773820588407,-0.12505090549008346,12
15,SynthOnly,HistGradientBoosting,2.7539464617788134,3.110674844217967,-0.028329822914293867,12
16,RealOnly,RandomForest,2.229326926737976,2.9189465623190327,-0.08979929500482653,11
16,RealOnly,Ridge,1.8503381926218347,2.252471207685713,0.351047767953669,11
16,RealOnly,SVR,2.7867570426032118,3.6416657419452543,-0.6962677108910986,11
16,RealOnly,GradientBoosting,1.6753810662385378,2.351131665403931,0.2929532419916778,11
16,RealOnly,HistGradientBoosting,1.9814541704563517,2.419889953027751,0.2509937065998703,11
16,RealPlusSynth,RandomForest,2.2577524990457034,2.9407317422383197,-0.10612715090567737,11
16,RealPlusSynth,Ridge,2.1637641506821446,3.0073113420792543,-0.15678065802539298,11
