split,group,n_features,mae,rmse,r2,n_test
20,G3_+PosturalRisk,83,2.047016848225472,2.8586643365727444,-0.11352182037425584,11
20,G4_+JointAngles,88,2.1758708088095498,2.9754867443751123,-0.20639198792814462,11
21,G1_AnthroMetabolic,63,2.0757313025967266,2.7702156878978683,0.1307492977122301,13
21,G2_+Bioimpedance,73,2.234065490170967,2.9271255082587118,0.029488758548457894,13
21,G3_+PosturalRisk,83,2.188020431976919,2.8328632981522723,0.0909890450689873,13
21,G4_+JointAngles,88,2.314322969173217,2.8559468091028815,0.07611458591433418,13
22,G1_AnthroMetabolic,63,1.9669969505877347,2.5827553207247567,-0.03480209058279082,11
22,G2_+Bioimpedance,73,2.079845391343995,2.744196781147305,-0.16821093950354693,11
22,G3_+PosturalRisk,83,2.070665796623348,2.7072622923811016,-0.13697636344817643,11
22,G4_+JointAngles,88,2.227629628014294,2.910593283657393,-0.31417685231724946,11
23,G1_AnthroMetabolic,63,2.405443900259247,2.801501249727021,-0.017163469037981383,13
23,G2_+Bioimpedance,73,2.3688148112499383,2.794245527482585,-0.011901505726791717,13
23,G3_+PosturalRisk,83,2.3509646164198346,2.7472070317447495,0.021880556502869908,13
23,G4_+JointAngles,88,2.383811316458754,2.7828428641059872,-0.003659689160773638,13
24,G1_AnthroMetabolic,63,2.6735409009147735,3.4874964204808783,-0.6840566391661915,12
24,G2_+Bioimpedance,73,2.558029775420731,3.255859528909799,-0.467778329968225,12
24,G3_+PosturalRisk,83,2.5923903781805797,3.382019194202613,-0.5837305303014466,12
24,G4_+JointAngles,88,2.460341438146284,3.183965513193576,-0.4036727308131425,12
25,G1_AnthroMetabolic,63,2.147240359782199,2.7038548493181818,-0.06323384205283089,11
25,G2_+Bioimpedance,73,2.0816848967693202,2.7203430786860574,-0.07624067590910077,11
25,G3_+PosturalRisk,83,2.00564609586087,2.6250655331007797,-0.002172181997494693,11
25,G4_+JointAngles,88,2.0936385613652067,2.6996631836609906,-0.059939829243949694,11
26,G1_AnthroMetabolic,63,3.9768825777925105,4.913878539115983,-1.3620979564885745,116
26,G2_+Bioimpedance,73,4.035252103079138,4.977404799584393,-1.423566794374382,116
26,G3_+PosturalRisk,83,4.038670844342133,4.9710673852397145,-1.4173991750340313,116
26,G4_+JointAngles,88,4.038670844342133,4.9710673852397145,-1.4173991750340313,116
27,G1_AnthroMetabolic,63,1.6476272470433224,2.4941492122906768,-0.13703083908397984,11
27,G2_+Bioimpedance,73,1.6908252499546412,2.60477283465666,-0.24012964341389775,11
27,G3_+PosturalRisk,83,1.749195858190781,2.6665016829556127,-0.2996041967519927,11
27,G4_+JointAngles,88,1.6712660149472107,2.625297583587124,-0.259750265391232,11
28,G1_AnthroMetabolic,63,1.7806156937042688,2.244828171402232,0.24722262245228166,11
28,G2_+Bioimpedance,73,1.611751209760701,2.078231545508536,0.35480912448597224,11
28,G3_+PosturalRisk,83,1.5452517505354861,2.115064169554193,0.33173695135658243,11
28,G4_+JointAngles,88,1.6772533340273463,2.1377166739085482,0.3173459976213556,11
29,G1_AnthroMetabolic,63,1.845161495519342,2.216236594862332,0.31530384565294345,11
29,G2_+Bioimpedance,73,2.011541711867479,2.5143797736044675,0.11869264613449104,11
29,G3_+PosturalRisk,83,2.0105369003723874,2.5552385854559456,0.08981733679613924,11
29,G4_+JointAngles,88,1.9660215391380724,2.596731188782132,0.06001779161053289,11
